Executavel,ModuloDominio,TipoAcao,NomeVisualOuTexto,CategoriaOrigem,StatusLayout,Fonte,Confianca,ValidacaoPendente
Estoque,cadastro,abrir/executar,":Clientes""",cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,":Clientes"" C",cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,!Importar Dados Cliente Fidelidade,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,operacional/outro,abrir/executar,"'S:\EquipExe\Est\Filial\PedComItem' I,",cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,"""Clientes"" C",cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,financeiro/caixa,processar/fechar,(|Selecione a forma de pagamento desejada,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,consultar,(Consulta|Consulta do produto selecionado,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,)C_CadastroPromo,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,abrir/executar,)Desmarca o Produto no Controle de Limites,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,criar/cadastrar,[ Cliente Controla Entrada ],cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,[ Grupo de Produtos - Flexivel ],cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,*Cliente,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,*S:\basetestes\usuarios\guilherme\GER\DADOS,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,\Clientes,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,"\Clientes.db"" C",cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,"\Clientes""",cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,"\Clientes"" C",cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,"\Clientes"" Where CgcCli ='",cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,"\Clientes"" Where CPFCli ='",cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,\rcliente.txt,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,consultar,#|Procura o desenho do produto (BMP),cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,operacional/outro,abrir/executar,+Filiail/Matriz|Seleciona nova filial/matriz,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,abrir/executar,|Desenho do produto,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,|Grupo em que pertence o cliente,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,|LogoMarca do cliente,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,|Nome do Cliente,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,abrir/executar,|Selecione o produto desejado,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,$ImportarDadosClienteFidelidade1Click,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,operacional/outro,abrir/executar,"0Select * From ""C:\Equipexe\Est\Filial\MovEst"" M,",cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,"0Select * From ""C:\Equipexe\Ger\Dados\Clientes"" C",cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,consultar,2Procurar por Filtro|Procura o clientes por filtros,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,operacional/outro,abrir/executar,3Filial,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,operacional/outro,abrir/executar,"4Select * From 's:\EquipExe\Est\Filial\PedCompra' P,",cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,financeiro/caixa,criar/cadastrar,5Premia Cliente novo com desconto por faixa de valores,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,a o cadastro,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,A partir da data de cadastro,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,criar/cadastrar,Adicionar novo produto,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Ajusta Cadastro Automaticamente,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,editar/alterar,Altera Produto,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,editar/alterar,AlteraProduto1,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,editar/alterar,AlteraProduto14,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,editar/alterar,Alterar Produto,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,operacional/outro,abrir/executar,Bt_ExportaFilial,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,operacional/outro,abrir/executar,Bt_ExportaFilialClick,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,abrir/executar,Bt_UsuarioGraficoClick,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,C_CadastroPromo,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,operacional/outro,abrir/executar,C:\EquipExe\Est\Filial,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,operacional/outro,abrir/executar,C:\EquipExe\Ger\Filial,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,operacional/outro,abrir/executar,C:\EquipExe\Lav\Filial,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,operacional/outro,abrir/executar,C:\Equipexe\Man\Filial,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,operacional/outro,abrir/executar,C:\EquipExe\Pag\Filial,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,operacional/outro,abrir/executar,C:\EquipExe\Rec\Filial,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,C:\Linker\rcliente.txt,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,cadastrado em outro cliente.,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,sync/update/api,criar/cadastrar,Cadastrar / Atualizar Filial,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro 2,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro 3,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro 4,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro Campos Flexiveis,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro de,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro de Classifica,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro de Clientes,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,criar/cadastrar,Cadastro de Estoques,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro de Fornecedores,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro de Funcion,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,criar/cadastrar,Cadastro de Grupo (Campos Flexiveis),cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,criar/cadastrar,Cadastro de Grupo 1,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,criar/cadastrar,Cadastro de Grupo 2,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,criar/cadastrar,Cadastro de Grupo 3,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,criar/cadastrar,Cadastro de Grupo 4,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,auth/permissao,criar/cadastrar,Cadastro de Grupo de Produto,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro de Localiza,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro de Marcas,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,criar/cadastrar,Cadastro de Produtos,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro de Promo,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro de Roteiros,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro de Situa,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,criar/cadastrar,Cadastro de Unidade de Produto,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro Legisla,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,CADASTRO N,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro Natureza da Opera,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastro Promo,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastros,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastros foram ajustados,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastros1,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastros1L,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastros3,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cadastros3L,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,CadClientes,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,abrir/executar,CalPrxProduto,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,operacional/outro,abrir/executar,Caminho Filial,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,fiscal,abrir/executar,"Campos TipSat, CodSAt e SeqOcor n",cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,excluir/cancelar,CancelaClientes,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,criar/cadastrar,Cancelado (Cadastro),cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,excluir/cancelar,CancelaInclusodeProduto1,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,excluir/cancelar,CancelaInclusodeProduto18,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,excluir/cancelar,Cancelamento do Cliente Cod.:,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,CarregaClientesInt,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,abrir/executar,CarregaProdutos,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,cb_Servico,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,CDS_ClientesInt,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,estoque/produto,abrir/executar,ChamaTelaProduto,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,operacional/outro,abrir/executar,cil - Parametros,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,Cliente,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,excluir/cancelar,Cliente Cancelado,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,Cliente est,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,Cliente inv,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,Cliente j,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,Cliente n,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,Cliente:,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,Cliente/Fornecedor,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,Cliente/Fornecedor/,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,Clientes,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,clientes_compacto,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,Clientes_FC,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,Clientes_FM,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,Clientes_FM.DS_TmpCliPromAcu,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,Clientes_FM.DS_TmpGerDadFlex,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,Clientes_FM.Tb_CadCart,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,Clientes.DB,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
Estoque,cadastro,abrir/executar,ClientesF5_FP,cadastro,texto_estatico_sem_posicao,strings funcionais do executavel,media-alta,captura visual no runtime MOD e cruzamento ProcMon
